feature_family,feature_name,exists_in_df,dtype,non_null,missing_pct,n_unique
lipid_identity,ionizable_lipid,True,object,1034,0.77,34
lipid_identity,ionizable_lipid_group,True,object,1042,0.0,35
lipid_identity,ionizable_lipid_structural_class,True,object,1042,0.0,11
lipid_identity,peg_lipid,True,object,996,4.41,36
lipid_identity,sterol_lipid,True,object,996,4.41,11
lipid_identity,helper_lipid,True,object,995,4.51,25
cargo,target_type,True,object,1042,0.0,8
formulation,ionizable_mol_percent_est,True,float64,1040,0.19,53
formulation,helper_mol_percent_est,True,float64,1040,0.19,62
formulation,cholesterol_mol_percent_est,True,float64,1040,0.19,104
formulation,peg_mol_percent_est,True,float64,1040,0.19,32
formulation,total_structural_lipid_percent_est,True,float64,1040,0.19,99
formulation,non_peg_lipid_percent_est,True,float64,1040,0.19,48
formulation,peg_fraction_of_total_lipid_est,True,float64,1040,0.19,68
formulation,ionizable_fraction_of_non_peg_lipid_est,True,float64,1040,0.19,122
formulation,helper_fraction_of_structural_lipid_est,True,float64,1006,3.45,157
formulation,cholesterol_fraction_of_structural_lipid_est,True,float64,1006,3.45,157
formulation,ionizable_helper_ratio,True,float64,1005,3.55,105
formulation,ionizable_cholesterol_ratio,True,float64,995,4.51,151
formulation,ionizable_peg_ratio,True,float64,982,5.76,90
formulation,helper_cholesterol_ratio,True,float64,995,4.51,156
formulation,helper_peg_ratio,True,float64,982,5.76,96
formulation,cholesterol_peg_ratio,True,float64,982,5.76,143
mixing_device,microfluidic_device_family,True,object,1042,0.0,6
aqueous_phase,primary_aqueous_buffer,True,object,1042,0.0,4
aqueous_phase,primary_aqueous_buffer_mM_est,True,float64,934,10.36,8
aqueous_phase,aqueous_phase_pH,True,float64,726,30.33,7
aqueous_phase,aqueous_buffer_acidity_proxy,True,float64,674,35.32,18
organic_phase,organic_ethanol_percent_est,True,float64,1001,3.93,3
organic_phase,organic_phase_contains_aqueous_component,True,bool,1042,0.0,2
post_mix,organic_fraction_post_mix,True,float64,816,21.69,8
post_mix,aqueous_fraction_post_mix,True,float64,816,21.69,8
post_mix,post_mix_ethanol_fraction_est,True,float64,816,21.69,9
post_mix,post_mix_buffer_concentration_est,True,float64,812,22.07,16
post_mix,post_mix_buffer_acidity_proxy,True,float64,567,45.59,23
downstream,has_sterile_filtration,True,bool,1042,0.0,2
downstream,storage_buffer_identity,True,object,992,4.8,6
flow,frr_est,True,float64,816,21.69,8
ionizable_rdkit,ionizable_adv_MolWt,True,float64,885,15.07,228
ionizable_rdkit,ionizable_adv_MolLogP,True,float64,885,15.07,239
ionizable_rdkit,ionizable_adv_TPSA,True,float64,885,15.07,81
ionizable_rdkit,ionizable_adv_NumHAcceptors,True,float64,885,15.07,17
ionizable_rdkit,ionizable_adv_NumHDonors,True,float64,885,15.07,9
ionizable_rdkit,ionizable_adv_NumRotatableBonds,True,float64,885,15.07,66
ionizable_rdkit,ionizable_adv_HeavyAtomCount,True,float64,885,15.07,63
ionizable_rdkit,ionizable_adv_FractionCSP3,True,float64,885,15.07,119
ionizable_rdkit,ionizable_adv_RingCount,True,float64,885,15.07,3
ionizable_rdkit,ionizable_adv_NumHeteroatoms,True,float64,885,15.07,17
ionizable_rdkit,ionizable_adv_MolMR,True,float64,885,15.07,242
ionizable_rdkit,ionizable_adv_FormalCharge,True,float64,885,15.07,3
peg_rdkit,peg_adv_MolWt,True,float64,852,18.23,25
peg_rdkit,peg_adv_MolLogP,True,float64,852,18.23,25
peg_rdkit,peg_adv_TPSA,True,float64,852,18.23,10
peg_rdkit,peg_adv_NumHAcceptors,True,float64,852,18.23,10
peg_rdkit,peg_adv_NumHDonors,True,float64,852,18.23,4
peg_rdkit,peg_adv_NumRotatableBonds,True,float64,852,18.23,23
peg_rdkit,peg_adv_HeavyAtomCount,True,float64,852,18.23,25
peg_rdkit,peg_adv_FractionCSP3,True,float64,852,18.23,25
peg_rdkit,peg_adv_NumHeteroatoms,True,float64,852,18.23,10
peg_rdkit,peg_adv_MolMR,True,float64,852,18.23,25
peg_rdkit,peg_adv_FormalCharge,True,float64,852,18.23,2
helper_rdkit,helper_adv_MolWt,True,float64,974,6.53,12
helper_rdkit,helper_adv_MolLogP,True,float64,974,6.53,12
helper_rdkit,helper_adv_TPSA,True,float64,974,6.53,6
helper_rdkit,helper_adv_NumHAcceptors,True,float64,974,6.53,5
helper_rdkit,helper_adv_NumHDonors,True,float64,974,6.53,3
helper_rdkit,helper_adv_NumRotatableBonds,True,float64,974,6.53,9
helper_rdkit,helper_adv_HeavyAtomCount,True,float64,974,6.53,8
helper_rdkit,helper_adv_FractionCSP3,True,float64,974,6.53,12
helper_rdkit,helper_adv_NumHeteroatoms,True,float64,974,6.53,4
helper_rdkit,helper_adv_MolMR,True,float64,974,6.53,12
helper_rdkit,helper_adv_FormalCharge,True,float64,974,6.53,3
electrostatic_capacity,total_nitrogen_count,True,float64,885,15.07,7
electrostatic_capacity,ionizable_nitrogen_count,True,float64,885,15.07,8
electrostatic_capacity,quaternary_nitrogen_count,True,float64,885,15.07,2
electrostatic_capacity,nitrogen_to_molecular_weight,True,float64,885,15.07,224
electrostatic_capacity,ionizable_nitrogen_to_molecular_weight,True,float64,885,15.07,220
