feature_family,n_features,avg_missing_pct,max_missing_pct,avg_n_unique
aqueous_phase,4,19.002499999999998,35.32,9.25
cargo,1,0.0,0.0,8.0
downstream,2,2.4,4.8,4.0
electrostatic_capacity,5,15.069999999999999,15.07,92.2
flow,1,21.69,21.69,8.0
formulation,16,2.3918749999999998,5.76,102.6875
helper_rdkit,11,6.53,6.53,7.818181818181818
ionizable_rdkit,12,15.07,15.07,90.58333333333333
lipid_identity,6,2.35,4.51,25.333333333333332
mixing_device,1,0.0,0.0,6.0
organic_phase,2,1.965,3.93,2.5
peg_rdkit,11,18.23,18.23,16.727272727272727
post_mix,5,26.546000000000003,45.59,12.8
